Website,Time Visited,Time Spent
http://9gag.com,Sat May 20 17:28:38 2023,00:00:10
http://9gag.com,Sat May 20 17:28:51 2023,00:00:12
http://9gag.com,Sat May 20 17:29:05 2023,00:00:12
http://everdome.io,Sat May 20 17:29:22 2023,00:00:14
http://everdome.io,Sat May 20 17:29:30 2023,00:00:06
http://linke,Sat May 20 17:31:04 2023,00:00:08
http://linkedin.com,Sat May 20 17:31:17 2023,00:00:12
http://chat.openai.com,Sat May 20 17:31:32 2023,00:00:13
http://linked,Sat May 20 17:38:28 2023,00:00:09
http://linkedin.com,Sat May 20 17:38:35 2023,00:00:05
http://linkedin.com,Sat May 20 17:38:39 2023,00:00:02
http://linkedin.com,Sat May 20 17:38:56 2023,00:00:15
http://9gag.com,Sat May 20 17:39:16 2023,00:00:02
http://chat.openai.com,Sat May 20 17:44:21 2023,00:00:04
http://chat.openai.com,Sat May 20 17:44:31 2023,00:00:08
http://coingecko.com,Sat May 20 17:45:21 2023,00:00:00
http://coingecko.com,Sat May 20 17:45:22 2023,00:00:00
http://coingecko.com,Sat May 20 17:45:32 2023,00:00:08
http://coingecko.com,Sat May 20 17:45:56 2023,00:00:22
http://linkedin.com,Sat May 20 17:46:04 2023,00:00:06
http://linkedin.com,Sat May 20 17:46:26 2023,00:00:19
http://linkedin.com,Sat May 20 17:55:05 2023,00:00:04
http://linkedin.com,Sat May 20 17:55:12 2023,00:00:05
http://linkedin.com,Sat May 20 17:55:17 2023,00:00:04
http://linkedin.com,Sat May 20 17:55:26 2023,00:00:07
http://9gag.com,Sat May 20 17:58:48 2023,00:00:04
http://9gag.com,Sat May 20 17:58:59 2023,00:00:09
http://9gag.com,Sat May 20 17:59:07 2023,00:00:06
http://linkedin.com,Sat May 20 18:08:21 2023,00:00:12
http://9gag.com,Sat May 20 18:08:33 2023,00:00:10
http://linkedin.com,Sat May 20 18:13:21 2023,00:00:03
http://linkedin.com,Sat May 20 18:13:27 2023,00:00:05
http://linkedin.com,Sat May 20 18:13:34 2023,00:00:05
http://9gag.com,Sat May 20 18:16:51 2023,00:00:08
http://9gag.com,Sat May 20 18:17:00 2023,00:00:07
http://9gag.com,Sat May 20 18:17:04 2023,00:00:02
http://everdome.io,Sat May 20 18:20:02 2023,00:00:08
http://everdome.io,Sat May 20 18:20:07 2023,00:00:03
http://everdome.io,Sat May 20 18:20:15 2023,00:00:06
http://google.com,Sat May 20 18:22:03 2023,00:00:06
http://google.com,Sat May 20 18:22:11 2023,00:00:07
http://usertesting.com,Sat May 20 18:24:26 2023,00:00:13
http://enroll.app,Sat May 20 18:25:09 2023,00:00:06
http://enroll.app,Sat May 20 18:25:15 2023,00:00:04
http://enroll.app,Sat May 20 18:25:29 2023,00:00:12
